BindingEnergy,Raw,Background,Envelope,Peak_CC,Peak_CO,Peak_CeqO,Peak_OCeqO
286.217877,1.038854,0.303792,1.025614,0.006033,0.713287,0.002502,0.000000
286.282123,0.983703,0.306505,1.033050,0.003558,0.719680,0.003306,0.000000
286.346369,1.017667,0.309271,1.033509,0.002050,0.717853,0.004335,0.000000
286.410615,1.047806,0.312089,1.026748,0.001153,0.707868,0.005638,0.000000
286.474860,0.967649,0.314955,1.012929,0.000634,0.690064,0.007276,0.000000
286.539106,0.987963,0.317870,0.992564,0.000341,0.665039,0.009314,0.000000
286.603352,0.991940,0.320829,0.966452,0.000179,0.633616,0.011829,0.000000
286.667598,0.902842,0.323831,0.935621,0.000092,0.596795,0.014904,0.000000
286.731844,0.941507,0.326873,0.901254,0.000046,0.555706,0.018630,0.000000
286.796089,0.878423,0.329953,0.864624,0.000022,0.511547,0.023102,0.000000
286.860335,0.823274,0.333067,0.827027,0.000011,0.465529,0.028420,0.000000
286.924581,0.797847,0.336214,0.789725,0.000005,0.418821,0.034685,0.000000
286.988827,0.770138,0.339389,0.753892,0.000002,0.372504,0.041996,0.000000
287.053073,0.723579,0.342590,0.720569,0.000001,0.327532,0.050445,0.000000
287.117318,0.719276,0.345814,0.690634,0.000000,0.284707,0.060113,0.000000
287.181564,0.648244,0.349057,0.664783,0.000000,0.244660,0.071065,0.000000
287.245810,0.633145,0.352317,0.643513,0.000000,0.207849,0.083347,0.000000
287.310056,0.653171,0.355588,0.627129,0.000000,0.174564,0.096976,0.000001
287.374302,0.616417,0.358870,0.615748,0.000000,0.144937,0.111939,0.000002
287.438547,0.587301,0.362156,0.609313,0.000000,0.118967,0.128186,0.000003
287.502793,0.631277,0.365446,0.607616,0.000000,0.096537,0.145627,0.000006
287.567039,0.646955,0.368734,0.610317,0.000000,0.077443,0.164128,0.000012
287.631285,0.605849,0.372017,0.616970,0.000000,0.061418,0.183514,0.000021
287.695531,0.592545,0.375292,0.627045,0.000000,0.048153,0.203562,0.000038
287.759777,0.636585,0.378556,0.639954,0.000000,0.037323,0.224010,0.000065
287.824022,0.651345,0.381805,0.655070,0.000000,0.028599,0.244556,0.000111
287.888268,0.664305,0.385036,0.671755,0.000000,0.021664,0.264870,0.000185
287.952514,0.724488,0.388245,0.689368,0.000000,0.016224,0.284596,0.000305
288.016760,0.681624,0.391429,0.707297,0.000000,0.012011,0.303366,0.000491
288.081006,0.756479,0.394585,0.724964,0.000000,0.008791,0.320809,0.000779
288.145251,0.710141,0.397711,0.741849,0.000000,0.006361,0.336565,0.001212
288.209497,0.737824,0.400802,0.757500,0.000000,0.004550,0.350295,0.001853
288.273743,0.787339,0.403857,0.771551,0.000000,0.003218,0.361693,0.002783
288.337989,0.811946,0.406873,0.783728,0.000000,0.002249,0.370501,0.004105
288.402235,0.815338,0.409847,0.793863,0.000000,0.001555,0.376513,0.005949
288.466480,0.810523,0.412776,0.801893,0.000000,0.001062,0.379588,0.008466
288.530726,0.811424,0.415659,0.807865,0.000000,0.000717,0.379654,0.011835
288.594972,0.815743,0.418493,0.811931,0.000000,0.000479,0.376709,0.016251
288.659218,0.828714,0.421276,0.814332,0.000000,0.000316,0.370821,0.021918
288.723464,0.810977,0.424007,0.815382,0.000000,0.000206,0.362132,0.029037
288.787709,0.822379,0.426683,0.815443,0.000000,0.000133,0.350841,0.037786
288.851955,0.829211,0.429305,0.814893,0.000000,0.000085,0.337206,0.048297
288.916201,0.814110,0.431869,0.814089,0.000000,0.000054,0.321532,0.060635
288.980447,0.832437,0.434376,0.813338,0.000000,0.000033,0.304154,0.074774
289.044693,0.826999,0.436823,0.812852,0.000000,0.000021,0.285434,0.090574
289.108939,0.862995,0.439212,0.812730,0.000000,0.000013,0.265742,0.107763
289.173184,0.821056,0.441541,0.812933,0.000000,0.000008,0.245447,0.125938
289.237430,0.802593,0.443809,0.813282,0.000000,0.000004,0.224903,0.144566
289.301676,0.804153,0.446018,0.813467,0.000000,0.000003,0.204445,0.163002
289.365922,0.812739,0.448166,0.813067,0.000000,0.000002,0.184374,0.180526
289.430168,0.834689,0.450255,0.811594,0.000000,0.000001,0.164954,0.196384
289.494413,0.800123,0.452284,0.808537,0.000000,0.000001,0.146410,0.209842
289.558659,0.813063,0.454255,0.803417,0.000000,0.000000,0.128920,0.220242
289.622905,0.841773,0.456169,0.795841,0.000000,0.000000,0.112619,0.227052
289.687151,0.721426,0.458026,0.785543,0.000000,0.000000,0.097599,0.229918
289.751397,0.744327,0.459829,0.772425,0.000000,0.000000,0.083911,0.228685
289.815642,0.762667,0.461577,0.756569,0.000000,0.000000,0.071571,0.223421
289.879888,0.748196,0.463274,0.738238,0.000000,0.000000,0.060562,0.214402
289.944134,0.723819,0.464920,0.717854,0.000000,0.000000,0.050839,0.202095
290.008380,0.685191,0.466519,0.695970,0.000000,0.000000,0.042339,0.187111
290.072626,0.689594,0.468072,0.673215,0.000000,0.000000,0.034981,0.170163
290.136872,0.657308,0.469581,0.650255,0.000000,0.000000,0.028672,0.152002
290.201117,0.614681,0.471049,0.627732,0.000000,0.000000,0.023315,0.133369
290.265363,0.666980,0.472479,0.606228,0.000000,0.000000,0.018808,0.114942
290.329609,0.595105,0.473873,0.586227,0.000000,0.000000,0.015052,0.097302
290.393855,0.554236,0.475234,0.568091,0.000000,0.000000,0.011951,0.080907
290.458101,0.549571,0.476565,0.552058,0.000000,0.000000,0.009413,0.066080
290.522346,0.532596,0.477869,0.538236,0.000000,0.000000,0.007356,0.053012
290.586592,0.525056,0.479150,0.526625,0.000000,0.000000,0.005702,0.041773
290.650838,0.448925,0.480410,0.517127,0.000000,0.000000,0.004385,0.032332
290.715084,0.497407,0.481653,0.509580,0.000000,0.000000,0.003346,0.024581
290.779330,0.528985,0.482882,0.503771,0.000000,0.000000,0.002533,0.018356
290.843575,0.470253,0.484101,0.499467,0.000000,0.000000,0.001902,0.013464
290.907821,0.494763,0.485312,0.496430,0.000000,0.000000,0.001417,0.009701
290.972067,0.518271,0.486521,0.494433,0.000000,0.000000,0.001047,0.006865
291.036313,0.514673,0.487729,0.493269,0.000000,0.000000,0.000768,0.004772
291.100559,0.530034,0.488941,0.492758,0.000000,0.000000,0.000558,0.003258
291.164804,0.450213,0.490160,0.492748,0.000000,0.000000,0.000403,0.002185
291.229050,0.484283,0.491389,0.493117,0.000000,0.000000,0.000288,0.001440
291.293296,0.485245,0.492632,0.493769,0.000000,0.000000,0.000205,0.000931
291.357542,0.510211,0.493892,0.494629,0.000000,0.000000,0.000144,0.000592
291.421788,0.522938,0.495173,0.495643,0.000000,0.000000,0.000101,0.000370
291.486034,0.429703,0.496477,0.496774,0.000000,0.000000,0.000070,0.000227
291.550279,0.525210,0.497809,0.497993,0.000000,0.000000,0.000048,0.000136
291.614525,0.463095,0.499170,0.499283,0.000000,0.000000,0.000033,0.000081
291.678771,0.517712,0.500564,0.500633,0.000000,0.000000,0.000022,0.000047
291.743017,0.464732,0.501993,0.502035,0.000000,0.000000,0.000015,0.000027
291.807263,0.507883,0.503462,0.503487,0.000000,0.000000,0.000010,0.000015
291.871508,0.534852,0.504971,0.504986,0.000000,0.000000,0.000007,0.000008
291.935754,0.502799,0.506524,0.506532,0.000000,0.000000,0.000004,0.000004
292.000000,0.512905,0.508122,0.508128,0.000000,0.000000,0.000003,0.000002
