Feature,SHAP value,Feature value,Feature Group,Sample ID,Feature Order
Vegetation index,1.6543426,0.2255705,Surface cover,DEMO112,
Vegetation index,1.9593558,0.1355770,Surface cover,DEMO113,
Vegetation index,2.2834649,0.0799323,Surface cover,DEMO114,
Vegetation index,2.0909250,0.0838519,Surface cover,DEMO115,
Vegetation index,2.0724281,0.1341447,Surface cover,DEMO116,
Vegetation index,2.5567846,0.1867147,Surface cover,DEMO117,
Vegetation index,2.7713833,0.1925152,Surface cover,DEMO118,
Vegetation index,2.6834139,0.1241049,Surface cover,DEMO119,
Vegetation index,3.2715749,0.0000000,Surface cover,DEMO120,
Road distance,-1.4352586,0.0632783,Human engineering,DEMO001,2
Road distance,-1.3579594,0.0842744,Human engineering,DEMO002,
Road distance,-1.2579219,0.0465966,Human engineering,DEMO003,
Road distance,-1.0158274,0.0253238,Human engineering,DEMO004,
Road distance,-0.9821801,0.0575059,Human engineering,DEMO005,
Road distance,-1.0764971,0.1395581,Human engineering,DEMO006,
Road distance,-0.9506678,0.2333898,Human engineering,DEMO007,
Road distance,-0.7854284,0.2914882,Human engineering,DEMO008,
Road distance,-0.8661200,0.2871141,Human engineering,DEMO009,
Road distance,-0.9182091,0.2312972,Human engineering,DEMO010,
Road distance,-0.7412087,0.1662306,Human engineering,DEMO011,
Road distance,-0.6716931,0.1392330,Human engineering,DEMO012,
Road distance,-0.8023241,0.1734797,Human engineering,DEMO013,
Road distance,-0.7663135,0.2536958,Human engineering,DEMO014,
Road distance,-0.5866509,0.3357074,Human engineering,DEMO015,
Road distance,-0.6223268,0.3739239,Human engineering,DEMO016,
Road distance,-0.7361197,0.3496906,Human engineering,DEMO017,
Road distance,-0.6122127,0.2829058,Human engineering,DEMO018,
Road distance,-0.4876847,0.2196908,Human engineering,DEMO019,
Road distance,-0.6029510,0.2037711,Human engineering,DEMO020,
Road distance,-0.6445088,0.2493413,Human engineering,DEMO021,
Road distance,-0.4711748,0.3322666,Human engineering,DEMO022,
Road distance,-0.4410704,0.4050844,Human engineering,DEMO023,
Road distance,-0.5817051,0.4264907,Human engineering,DEMO024,
Road distance,-0.5261244,0.3870006,Human engineering,DEMO025,
Road distance,-0.3630694,0.3148476,Human engineering,DEMO026,
Road distance,-0.4312712,0.2584588,Human engineering,DEMO027,
Road distance,-0.5345123,0.2563887,Human engineering,DEMO028,
Road distance,-0.3962058,0.3133833,Human engineering,DEMO029,
Road distance,-0.3002028,0.3974387,Human engineering,DEMO030,
Road distance,-0.4330349,0.4596807,Human engineering,DEMO031,
Road distance,-0.4516575,0.4647211,Human engineering,DEMO032,
Road distance,-0.2782595,0.4126376,Human engineering,DEMO033,
Road distance,-0.2805138,0.3389302,Human engineering,DEMO034,
Road distance,-0.4196168,0.2924786,Human engineering,DEMO035,
Road distance,-0.3401624,0.3051918,Human engineering,DEMO036,
Road distance,-0.1936076,0.3721950,Human engineering,DEMO037,
Road distance,-0.2873057,0.4548603,Human engineering,DEMO038,
Road distance,-0.3723205,0.5047969,Human engineering,DEMO039,
Road distance,-0.2202003,0.4939050,Human engineering,DEMO040,
Road distance,-0.1522901,0.4318277,Human engineering,DEMO041,
Road distance,-0.2951309,0.3599652,Human engineering,DEMO042,
Road distance,-0.2872339,0.3257670,Human engineering,DEMO043,
Road distance,-0.1166522,0.3532675,Human engineering,DEMO044,
Road distance,-0.1486426,0.4281628,Human engineering,DEMO045,
Road distance,-0.2793233,0.5066948,Human engineering,DEMO046,
Road distance,-0.1763567,0.5428269,Human engineering,DEMO047,
Road distance,-0.0489796,0.5168347,Human engineering,DEMO048,
Road distance,-0.1631717,0.4475561,Human engineering,DEMO049,
Road distance,-0.2253478,0.3806947,Human engineering,DEMO050,
Road distance,-0.0625982,0.3604389,Human engineering,DEMO051,
Road distance,-0.0233169,0.4020223,Human engineering,DEMO052,
Road distance,-0.1699360,0.4822647,Human engineering,DEMO053,
Road distance,-0.1342527,0.5539686,Human engineering,DEMO054,
Road distance,0.0294348,0.5752302,Human engineering,DEMO055,
Road distance,-0.0298472,0.5354628,Human engineering,DEMO056,
Road distance,-0.1465063,0.4619727,Human engineering,DEMO057,
Road distance,-0.0220595,0.4030028,Human engineering,DEMO058,
Road distance,0.0832752,0.3977751,Human engineering,DEMO059,
Road distance,-0.0464670,0.4521344,Human engineering,DEMO060,
Road distance,-0.0825811,0.5349202,Human engineering,DEMO061,
Road distance,0.0866895,0.5973187,Human engineering,DEMO062,
Road distance,0.0972180,0.6031768,Human engineering,DEMO063,
Road distance,-0.0472884,0.5514553,Human engineering,DEMO064,
Road distance,0.0161341,0.4768747,Human engineering,DEMO065,
Road distance,0.1687079,0.4283552,Human engineering,DEMO066,
Road distance,0.0851420,0.4386381,Human engineering,DEMO067,
Road distance,-0.0126354,0.5039546,Human engineering,DEMO068,
Road distance,0.1303144,0.5863675,Human engineering,DEMO069,
Road distance,0.2112445,0.6373313,Human engineering,DEMO070,
Road distance,0.0712198,0.6278406,Human engineering,DEMO071,
Road distance,0.0633939,0.5664439,Human engineering,DEMO072,
Road distance,0.2347435,0.4939360,Human engineering,DEMO073,
Road distance,0.2172355,0.4580257,Human engineering,DEMO074,
Road distance,0.0805982,0.4837104,Human engineering,DEMO075,
Road distance,0.1707724,0.5577532,Human engineering,DEMO076,
Road distance,0.3083608,0.6369056,Human engineering,DEMO077,
Road distance,0.2043203,0.6747658,Human engineering,DEMO078,
Road distance,0.1297113,0.6505963,Human engineering,DEMO079,
Road distance,0.2876524,0.5822038,Human engineering,DEMO080,
Road distance,0.3427014,0.5148829,Human engineering,DEMO081,
Road distance,0.1981175,0.4932901,Human engineering,DEMO082,
Road distance,0.2200381,0.5337138,Human engineering,DEMO083,
Road distance,0.3891387,0.6139616,Human engineering,DEMO084,
Road distance,0.3454342,0.6871442,Human engineering,DEMO085,
Road distance,0.2224142,0.7107961,Human engineering,DEMO086,
Road distance,0.3377679,0.6732496,Human engineering,DEMO087,
Road distance,0.4573089,0.6008836,Human engineering,DEMO088,
Road distance,0.3376333,0.5417448,Human engineering,DEMO089,
Road distance,0.2901385,0.5357145,Human engineering,DEMO090,
Road distance,0.4595343,0.5897455,Human engineering,DEMO091,
Road distance,0.4885840,0.6735485,Human engineering,DEMO092,
Road distance,0.3458910,0.7384061,Human engineering,DEMO093,
Road distance,0.3986980,0.7474315,Human engineering,DEMO094,
Road distance,0.5620184,0.6984803,Human engineering,DEMO095,
Road distance,0.4956180,0.6254883,Human engineering,DEMO096,
Road distance,0.3924285,0.5774035,Human engineering,DEMO097,
Road distance,0.5315896,0.5877969,Human engineering,DEMO098,
Road distance,0.6317510,0.6540225,Human engineering,DEMO099,
Road distance,0.5030766,0.7388702,Human engineering,DEMO100,
Road distance,0.4872178,0.7936834,Human engineering,DEMO101,
Road distance,0.6658117,0.7885875,Human engineering,DEMO102,
Road distance,0.6714682,0.7310555,Human engineering,DEMO103,
Road distance,0.5392049,0.6612836,Human engineering,DEMO104,
Road distance,0.6255059,0.6272482,Human engineering,DEMO105,
Road distance,0.7825577,0.6549347,Human engineering,DEMO106,
Road distance,0.7010194,0.7322276,Human engineering,DEMO107,
Road distance,0.6271197,0.8164666,Human engineering,DEMO108,
Road distance,0.7925382,0.8609795,Human engineering,DEMO109,
Road distance,0.8780974,0.8441163,Human engineering,DEMO110,
Road distance,0.7539615,0.7827585,Human engineering,DEMO111,
Road distance,0.7813083,0.7219218,Human engineering,DEMO112,
Road distance,0.9765668,0.7069166,Human engineering,DEMO113,
Road distance,0.9748765,0.7553745,Human engineering,DEMO114,
Road distance,0.8776830,0.8465431,Human engineering,DEMO115,
Road distance,1.0210082,0.9345634,Human engineering,DEMO116,
Road distance,1.2023304,0.9776385,Human engineering,DEMO117,
Road distance,1.1599604,0.9654192,Human engineering,DEMO118,
Road distance,1.2025165,0.9293330,Human engineering,DEMO119,
Road distance,1.5825055,0.9434705,Human engineering,DEMO120,
Slope,-1.2802993,1.0000000,Geomorphology,DEMO001,3
Slope,-1.1864737,0.8863069,Geomorphology,DEMO002,
Slope,-0.9825348,0.8077933,Geomorphology,DEMO003,
Slope,-0.8443930,0.8032990,Geomorphology,DEMO004,
Slope,-0.9143426,0.8517757,Geomorphology,DEMO005,
Slope,-0.8964464,0.9067187,Geomorphology,DEMO006,
Slope,-0.7227051,0.9211441,Geomorphology,DEMO007,
Slope,-0.7020660,0.8753368,Geomorphology,DEMO008,
Slope,-0.7999559,0.7884032,Geomorphology,DEMO009,
Slope,-0.7155795,0.7060159,Geomorphology,DEMO010,
Slope,-0.5770308,0.6718071,Geomorphology,DEMO011,
Slope,-0.6432015,0.7001083,Geomorphology,DEMO012,
Slope,-0.7029750,0.7669349,Geomorphology,DEMO013,
Slope,-0.5636922,0.8247947,Geomorphology,DEMO014,
Slope,-0.4970110,0.8321162,Geomorphology,DEMO015,
Slope,-0.6090280,0.7790138,Geomorphology,DEMO016,
Slope,-0.5941004,0.6933864,Geomorphology,DEMO017,
Slope,-0.4427575,0.6235596,Geomorphology,DEMO018,
Slope,-0.4634109,0.6082482,Geomorphology,DEMO019,
Slope,-0.5675488,0.6524920,Geomorphology,DEMO020,
Slope,-0.4746572,0.7245070,Geomorphology,DEMO021,
Slope,-0.3620465,0.7754071,Geomorphology,DEMO022,
Slope,-0.4538890,0.7695491,Geomorphology,DEMO023,
Slope,-0.5016906,0.7066546,Geomorphology,DEMO024,
Slope,-0.3599739,0.6219729,Geomorphology,DEMO025,
Slope,-0.3232761,0.5643815,Geomorphology,DEMO026,
Slope,-0.4436145,0.5660250,Geomorphology,DEMO027,
Slope,-0.4098936,0.6223459,Geomorphology,DEMO028,
Slope,-0.2686752,0.6949083,Geomorphology,DEMO029,
Slope,-0.3162389,0.7352608,Geomorphology,DEMO030,
Slope,-0.4120359,0.7150198,Geomorphology,DEMO031,
Slope,-0.3043063,0.6434909,Geomorphology,DEMO032,
Slope,-0.2133836,0.5618859,Geomorphology,DEMO033,
Slope,-0.3211318,0.5177258,Geomorphology,DEMO034,
Slope,-0.3495219,0.5353269,Geomorphology,DEMO035,
Slope,-0.2048122,0.6006966,Geomorphology,DEMO036,
Slope,-0.1947258,0.6702198,Geomorphology,DEMO037,
Slope,-0.3154102,0.6977413,Geomorphology,DEMO038,
Slope,-0.2603396,0.6632253,Geomorphology,DEMO039,
Slope,-0.1305320,0.5851956,Geomorphology,DEMO040,
Slope,-0.2004627,0.5092295,Geomorphology,DEMO041,
Slope,-0.2820676,0.4796523,Geomorphology,DEMO042,
Slope,-0.1604809,0.5120089,Geomorphology,DEMO043,
Slope,-0.0918752,0.5834083,Geomorphology,DEMO044,
Slope,-0.2098763,0.6467376,Geomorphology,DEMO045,
Slope,-0.2159277,0.6599168,Geomorphology,DEMO046,
Slope,-0.0710499,0.6120295,Geomorphology,DEMO047,
Slope,-0.0861439,0.5301002,Geomorphology,DEMO048,
Slope,-0.2015998,0.4623106,Geomorphology,DEMO049,
Slope,-0.1254033,0.4480768,Geomorphology,DEMO050,
Slope,-0.0097386,0.4935709,Geomorphology,DEMO051,
Slope,-0.0983556,0.5678861,Geomorphology,DEMO052,
Slope,-0.1617734,0.6222293,Geomorphology,DEMO053,
Slope,-0.0289909,0.6202199,Geomorphology,DEMO054,
Slope,0.0163045,0.5604812,Geomorphology,DEMO055,
Slope,-0.1069303,0.4774943,Geomorphology,DEMO056,
Slope,-0.0893010,0.4201837,Geomorphology,DEMO057,
Slope,0.0521484,0.4215341,Geomorphology,DEMO058,
Slope,0.0134383,0.4781056,Geomorphology,DEMO059,
Slope,-0.0919958,0.5521684,Geomorphology,DEMO060,
Slope,0.0038698,0.5951327,Geomorphology,DEMO061,
Slope,0.1026294,0.5777211,Geomorphology,DEMO062,
Slope,-0.0008232,0.5081495,Geomorphology,DEMO063,
Slope,-0.0430400,0.4270236,Geomorphology,DEMO064,
Slope,0.0975657,0.3821214,Geomorphology,DEMO065,
Slope,0.1190057,0.3987220,Geomorphology,DEMO066,
Slope,-0.0045465,0.4639057,Geomorphology,DEMO067,
Slope,0.0370967,0.5345764,Geomorphology,DEMO068,
Slope,0.1714234,0.5642229,Geomorphology,DEMO069,
Slope,0.1112481,0.5318013,Geomorphology,DEMO070,
Slope,0.0201504,0.4548023,Geomorphology,DEMO071,
Slope,0.1334622,0.3783878,Geomorphology,DEMO072,
Slope,0.2130008,0.3473443,Geomorphology,DEMO073,
Slope,0.0989658,0.3782684,Geomorphology,DEMO074,
Slope,0.0802197,0.4492596,Geomorphology,DEMO075,
Slope,0.2249886,0.5135184,Geomorphology,DEMO076,
Slope,0.2227916,0.5284077,Geomorphology,DEMO077,
Slope,0.1038597,0.4819292,Geomorphology,DEMO078,
Slope,0.1691037,0.4001723,Geomorphology,DEMO079,
Slope,0.2929007,0.3311109,Geomorphology,DEMO080,
Slope,0.2141871,0.3148097,Geomorphology,DEMO081,
Slope,0.1413776,0.3585419,Geomorphology,DEMO082,
Slope,0.2694736,0.4322704,Geomorphology,DEMO083,
Slope,0.3282526,0.4872986,Geomorphology,DEMO084,
Slope,0.2084123,0.4865092,Geomorphology,DEMO085,
Slope,0.2148536,0.4274111,Geomorphology,DEMO086,
Slope,0.3602302,0.3436843,Geomorphology,DEMO087,
Slope,0.3356552,0.2842611,Geomorphology,DEMO088,
Slope,0.2264400,0.2829361,Geomorphology,DEMO089,
Slope,0.3144529,0.3373763,Geomorphology,DEMO090,
Slope,0.4250452,0.4105663,Geomorphology,DEMO091,
Slope,0.3317596,0.4537907,Geomorphology,DEMO092,
Slope,0.2810855,0.4368824,Geomorphology,DEMO093,
Slope,0.4213705,0.3669517,Geomorphology,DEMO094,
Slope,0.4591370,0.2839652,Geomorphology,DEMO095,
Slope,0.3391412,0.2359210,Geomorphology,DEMO096,
Slope,0.3724350,0.2490348,Geomorphology,DEMO097,
Slope,0.5157040,0.3114528,Geomorphology,DEMO098,
Slope,0.4717028,0.3806048,Geomorphology,DEMO099,
Slope,0.3780742,0.4096311,Geomorphology,DEMO100,
Slope,0.4885155,0.3764720,Geomorphology,DEMO101,
Slope,0.5850525,0.2975550,Geomorphology,DEMO102,
Slope,0.4832226,0.2175794,Geomorphology,DEMO103,
Slope,0.4596287,0.1817414,Geomorphology,DEMO104,
Slope,0.6111990,0.2076490,Geomorphology,DEMO105,
Slope,0.6307944,0.2743640,Geomorphology,DEMO106,
Slope,0.5191033,0.3353784,Geomorphology,DEMO107,
Slope,0.5833291,0.3474631,Geomorphology,DEMO108,
Slope,0.7257257,0.2974730,Geomorphology,DEMO109,
Slope,0.6705111,0.2104597,Geomorphology,DEMO110,
Slope,0.6034160,0.1340490,Geomorphology,DEMO111,
Slope,0.7420385,0.1087800,Geomorphology,DEMO112,
Slope,0.8325930,0.1428143,Geomorphology,DEMO113,
Slope,0.7392370,0.2067030,Geomorphology,DEMO114,
Slope,0.7606777,0.2514310,Geomorphology,DEMO115,
Slope,0.9408580,0.2384651,Geomorphology,DEMO116,
Slope,0.9717546,0.1629931,Geomorphology,DEMO117,
Slope,0.9156376,0.0554828,Geomorphology,DEMO118,
Slope,1.0803228,0.0000000,Geomorphology,DEMO119,
Slope,1.3808531,0.0000000,Geomorphology,DEMO120,
Lithology,-1.2485168,0.0000000,Geology,DEMO001,4
Lithology,-1.0511886,0.0000000,Geology,DEMO002,
Lithology,-0.8417809,0.0310702,Geology,DEMO003,
Lithology,-0.8330903,0.1359919,Geology,DEMO004,
Lithology,-0.8819777,0.2256432,Geology,DEMO005,
Lithology,-0.7522358,0.2607508,Geology,DEMO006,
Lithology,-0.6439548,0.2323769,Geology,DEMO007,
Lithology,-0.7220490,0.1688987,Geology,DEMO008,
Lithology,-0.7299000,0.1190765,Geology,DEMO009,
Lithology,-0.5813774,0.1221633,Geology,DEMO010,
Lithology,-0.5587091,0.1837729,Geology,DEMO011,
Lithology,-0.6573566,0.2725577,Geology,DEMO012,
Lithology,-0.5956705,0.3397917,Geology,DEMO013,
Lithology,-0.4668426,0.3497149,Geology,DEMO014,
Lithology,-0.5224751,0.3018054,Geology,DEMO015,
Lithology,-0.5892076,0.2311540,Geology,DEMO016,
Lithology,-0.4700870,0.1867134,Geology,DEMO017,
Lithology,-0.4006610,0.2009307,Geology,DEMO018,
Lithology,-0.5029843,0.2696246,Geology,DEMO019,
Lithology,-0.5026296,0.3546047,Geology,DEMO020,
Lithology,-0.3644006,0.4074066,Geology,DEMO021,
Lithology,-0.3737533,0.3994046,Geology,DEMO022,
Lithology,-0.4752634,0.3396021,Geology,DEMO023,
Lithology,-0.4009497,0.2690529,Geology,DEMO024,
Lithology,-0.2911179,0.2353766,Geology,DEMO025,
Lithology,-0.3691875,0.2631964,Geology,DEMO026,
Lithology,-0.4239473,0.3388559,Geology,DEMO027,
Lithology,-0.2988855,0.4189073,Geology,DEMO028,
Lithology,-0.2547838,0.4570988,Geology,DEMO029,
Lithology,-0.3654213,0.4331033,Geology,DEMO030,
Lithology,-0.3465799,0.3651467,Geology,DEMO031,
Lithology,-0.2145563,0.2986943,Geology,DEMO032,
Lithology,-0.2483651,0.2782212,Geology,DEMO033,
Lithology,-0.3432113,0.3195972,Geology,DEMO034,
Lithology,-0.2532764,0.4002349,Geology,DEMO035,
Lithology,-0.1612678,0.4731204,Geology,DEMO036,
Lithology,-0.2550481,0.4960117,Geology,DEMO037,
Lithology,-0.2923214,0.4576745,Geology,DEMO038,
Lithology,-0.1620260,0.3848610,Geology,DEMO039,
Lithology,-0.1416507,0.3256996,Geology,DEMO040,
Lithology,-0.2542559,0.3198088,Geology,DEMO041,
Lithology,-0.2150229,0.3736969,Geology,DEMO042,
Lithology,-0.0911797,0.4567219,Geology,DEMO043,
Lithology,-0.1462132,0.5201222,Geology,DEMO044,
Lithology,-0.2293376,0.5273000,Geology,DEMO045,
Lithology,-0.1248603,0.4765500,Geology,DEMO046,
Lithology,-0.0519413,0.4021201,Geology,DEMO047,
Lithology,-0.1567721,0.3529453,Geology,DEMO048,
Lithology,-0.1738280,0.3622600,Geology,DEMO049,
Lithology,-0.0410934,0.4269610,Geology,DEMO050,
Lithology,-0.0437442,0.5095361,Geology,DEMO051,
Lithology,-0.1533654,0.5613606,Geology,DEMO052,
Lithology,-0.0937795,0.5528945,Geology,DEMO053,
Lithology,0.0190434,0.4920286,Geology,DEMO054,
Lithology,-0.0542939,0.4191853,Geology,DEMO055,
Lithology,-0.1219068,0.3822174,Geology,DEMO056,
Lithology,-0.0052276,0.4066926,Geology,DEMO057,
Lithology,0.0472515,0.4800172,Geology,DEMO058,
Lithology,-0.0642394,0.5592577,Geology,DEMO059,
Lithology,-0.0595651,0.5978040,Geology,DEMO060,
Lithology,0.0722331,0.5743156,Geology,DEMO061,
Lithology,0.0475549,0.5059751,Geology,DEMO062,
Lithology,-0.0546294,0.4378190,Geology,DEMO063,
Lithology,0.0242514,0.4147709,Geology,DEMO064,
Lithology,0.1232529,0.4537452,Geology,DEMO065,
Lithology,0.0348433,0.5331441,Geology,DEMO066,
Lithology,-0.0142224,0.6062712,Geology,DEMO067,
Lithology,0.1117016,0.6303312,Geology,DEMO068,
Lithology,0.1428621,0.5930073,Geology,DEMO069,
Lithology,0.0291523,0.5201110,Geology,DEMO070,
Lithology,0.0562233,0.4595544,Geology,DEMO071,
Lithology,0.1836227,0.4515980,Geology,DEMO072,
Lithology,0.1385367,0.5038500,Geology,DEMO073,
Lithology,0.0479284,0.5865431,Geology,DEMO074,
Lithology,0.1443681,0.6510213,Geology,DEMO075,
Lithology,0.2271652,0.6599572,Geology,DEMO076,
Lithology,0.1273942,0.6105336,Geology,DEMO077,
Lithology,0.0993189,0.5361949,Geology,DEMO078,
Lithology,0.2312612,0.4858795,Geology,DEMO079,
Lithology,0.2409681,0.4936307,Geology,DEMO080,
Lithology,0.1296254,0.5574578,Geology,DEMO081,
Lithology,0.1791266,0.6405737,Geology,DEMO082,
Lithology,0.2989247,0.6942426,Geology,DEMO083,
Lithology,0.2358538,0.6880468,Geology,DEMO084,
Lithology,0.1607503,0.6287785,Geology,DEMO085,
Lithology,0.2726348,0.5562249,Geology,DEMO086,
Lithology,0.3375910,0.5184621,Geology,DEMO087,
Lithology,0.2307888,0.5420032,Geology,DEMO088,
Lithology,0.2257494,0.6153366,Geology,DEMO089,
Lithology,0.3606073,0.6960776,Geology,DEMO090,
Lithology,0.3497806,0.7372940,Geology,DEMO091,
Lithology,0.2457155,0.7166542,Geology,DEMO092,
Lithology,0.3174015,0.6503003,Geology,DEMO093,
Lithology,0.4271448,0.5828281,Geology,DEMO094,
